timestamp,open,high,low,close,volume
2021-02-03,135.76,135.77,133.61,133.94,89880000.0
2021-02-04,136.3,137.4,134.59,137.39,84180000.0
2021-02-05,137.35,137.42,135.86,136.76,75690000.0
2021-02-08,136.03,136.96,134.92,136.91,71300000.0
2021-02-09,136.62,137.88,135.85,136.01,76770000.0
2021-02-10,136.48,136.99,134.4,135.39,73050000.0
2021-02-11,135.9,136.39,133.77,135.13,64280000.0
2021-02-12,134.35,135.53,133.69,135.37,60150000.0
2021-02-16,135.49,136.01,132.79,133.19,80580000.0
2021-02-17,131.25,132.22,129.47,130.84,98090000.0
2021-02-18,129.2,130.0,127.41,129.71,96860000.0
2021-02-19,130.24,130.71,128.8,129.87,87670000.0
2021-02-22,128.01,129.72,125.6,126.0,103920000.0
2021-02-23,123.76,126.71,118.39,125.86,158270000.0
2021-02-24,124.94,125.56,122.23,125.35,111040000.0
2021-02-25,124.68,126.46,120.54,120.99,148200000.0
2021-02-26,122.59,124.85,121.2,121.26,164560000.0
2021-03-01,123.75,127.93,122.79,127.79,116310000.0
2021-03-02,128.41,128.72,125.01,125.12,102260000.0
2021-03-03,124.81,125.71,121.84,122.06,112970000.0
2021-03-04,121.75,123.6,118.62,120.13,178150000.0
2021-03-05,120.98,121.94,117.57,121.42,153770000.0
2021-03-08,120.93,121.0,116.21,116.36,154380000.0
2021-03-09,119.03,122.06,118.79,121.08,129530000.0
2021-03-10,121.69,122.17,119.45,119.98,111940000.0
2021-03-11,122.54,123.21,121.26,121.96,103030000.0
2021-03-12,120.4,121.17,119.16,121.03,88110000.0
2021-03-15,121.41,124.0,120.42,123.99,92590000.0
2021-03-16,125.7,127.22,124.72,125.57,115230000.0
2021-03-17,124.05,125.86,122.34,124.76,111930000.0
2021-03-18,122.88,123.18,120.32,120.53,121470000.0
2021-03-19,119.9,121.43,119.67,119.99,185550000.0
2021-03-22,120.33,123.87,120.26,123.39,111910000.0
2021-03-23,123.33,124.24,122.14,122.54,95470000.0
2021-03-24,122.82,122.9,120.06,120.09,88530000.0
2021-03-25,119.54,121.66,119.0,120.59,98840000.0
2021-03-26,120.35,121.48,118.92,121.21,94070000.0
2021-03-29,121.65,122.58,120.73,121.39,80820000.0
2021-03-30,120.11,120.4,118.86,119.9,85670000.0
2021-03-31,121.65,123.52,121.15,122.15,118320000.0
2021-04-01,123.66,124.18,122.49,123.0,75090000.0
2021-04-05,123.87,126.16,123.07,125.9,88650000.0
2021-04-06,126.5,127.13,125.65,126.21,80170000.0
2021-04-07,125.83,127.92,125.14,127.9,83470000.0
2021-04-08,128.95,130.39,128.52,130.36,88840000.0
2021-04-09,129.8,133.04,129.47,133.0,106690000.0
2021-04-12,132.52,132.85,130.63,131.24,91420000.0
2021-04-13,132.44,134.66,131.93,134.43,91270000.0
2021-04-14,134.94,135.0,131.66,132.03,87220000.0
2021-04-15,133.82,135.0,133.64,134.5,89350000.0
2021-04-16,134.3,134.67,133.28,134.16,84920000.0
2021-04-19,133.51,135.47,133.34,134.84,94260000.0
2021-04-20,135.02,135.53,131.81,133.11,94810000.0
2021-04-21,132.36,133.75,131.3,133.5,68850000.0
2021-04-22,133.04,134.15,131.41,131.94,84570000.0
2021-04-23,132.16,135.12,132.16,134.32,78760000.0
2021-04-26,134.83,135.06,133.56,134.72,66910000.0
2021-04-27,135.01,135.41,134.11,134.39,66019999.99999999
2021-04-28,134.31,135.02,133.08,133.58,107760000.0
2021-04-29,136.47,137.07,132.45,133.48,151100000.0
2021-04-30,131.78,133.56,131.06,131.46,109840000.0
2021-05-03,132.04,134.07,131.83,132.54,75140000.0
2021-05-04,131.19,131.49,126.7,127.85,137560000.0
2021-05-05,129.2,130.45,127.97,128.1,84000000.0
2021-05-06,127.89,129.75,127.13,129.74,78130000.0
2021-05-07,130.85,131.26,129.47,130.21,78970000.0
2021-05-10,129.41,129.54,126.81,126.85,88070000.0
2021-05-11,123.5,126.27,122.77,125.91,126140000.0
2021-05-12,123.4,124.64,122.25,122.77,112170000.0
2021-05-13,124.58,126.15,124.26,124.97,105860000.0
2021-05-14,126.25,127.89,125.85,127.45,81920000.0
2021-05-17,126.82,126.93,125.17,126.27,74240000.0
2021-05-18,126.56,126.99,124.78,124.85,63340000.0
2021-05-19,123.16,124.92,122.86,124.69,92610000.0
2021-05-20,125.23,127.72,125.1,127.31,76860000.0
2021-05-21,127.82,128.0,125.21,125.43,79300000.0
2021-05-24,126.01,127.94,125.94,127.1,63090000.0
2021-05-25,127.82,128.32,126.32,126.9,72010000.0
2021-05-26,126.95,127.39,126.42,126.85,56580000.0
2021-05-27,126.44,127.64,125.08,125.28,94630000.0
2021-05-28,125.57,125.8,124.55,124.61,71310000.0
2021-06-01,125.08,125.35,123.94,124.28,67640000.0
2021-06-02,124.28,125.24,124.05,125.06,59280000.0
2021-06-03,124.68,124.85,123.13,123.54,76230000.0
2021-06-04,124.07,126.16,123.85,125.89,75170000.0
2021-06-07,126.17,126.32,124.83,125.9,71060000.0
2021-06-08,126.6,128.46,126.21,126.74,74400000.0
2021-06-09,127.21,127.75,126.52,127.13,56880000.0
2021-06-10,127.02,128.19,125.94,126.11,71190000.0
2021-06-11,126.53,127.44,126.1,127.35,53520000.0
2021-06-14,127.82,130.54,127.07,130.48,96910000.0
2021-06-15,129.94,130.6,129.39,129.64,62750000.0
2021-06-16,130.37,130.89,128.46,130.15,91820000.0
2021-06-17,129.8,132.55,129.65,131.79,96720000.0
2021-06-18,130.71,131.51,130.24,130.46,108950000.0
2021-06-21,130.3,132.41,129.21,132.3,79660000.0
2021-06-22,132.13,134.08,131.62,133.98,74780000.0
2021-06-23,133.77,134.32,133.23,133.7,60210000.0
2021-06-24,134.45,134.64,132.93,133.41,68710000.0
2021-06-25,133.46,133.89,132.81,133.11,70780000.0
2021-06-28,133.41,135.25,133.35,134.78,62110000.0
2021-06-29,134.8,136.49,134.35,136.33,64560000.0
2021-06-30,136.17,137.41,135.87,136.96,63260000.0
2021-07-01,136.6,137.33,135.76,137.27,52490000.0
2021-07-02,137.9,140.0,137.75,139.96,78950000.0
2021-07-06,140.07,143.15,140.07,142.02,108180000.0
2021-07-07,143.53,144.89,142.66,144.57,104910000.0
2021-07-08,141.58,144.06,140.66,143.24,105580000.0
2021-07-09,142.75,145.65,142.65,145.11,99890000.0
2021-07-12,146.21,146.32,144.0,144.5,76300000.0
2021-07-13,144.03,147.46,143.63,145.64,100830000.0
2021-07-14,148.1,149.57,147.68,149.15,127050000.0
2021-07-15,149.24,150.0,147.09,148.48,106820000.0
2021-07-16,148.46,149.76,145.88,146.39,93250000.0
2021-07-19,143.75,144.07,141.67,142.45,121430000.0
2021-07-20,143.46,147.1,142.96,146.15,96350000.0
2021-07-21,145.53,146.13,144.63,145.4,74990000.0
2021-07-22,145.94,148.19,145.81,146.8,77340000.0
2021-07-23,147.55,148.72,146.92,148.56,71450000.0
2021-07-26,148.27,149.83,147.7,148.99,72430000.0
2021-07-27,149.12,149.21,145.55,146.77,104820000.0
2021-07-28,144.81,146.97,142.54,144.98,118930000.0
2021-07-29,144.69,146.55,144.58,145.64,56700000.0
2021-07-30,144.38,146.33,144.11,145.86,70440000.0
2021-08-02,146.36,146.95,145.25,145.52,62880000.0
2021-08-03,145.81,148.04,145.18,147.36,64790000.00000001
2021-08-04,147.27,147.79,146.28,146.95,56370000.0
2021-08-05,146.98,147.84,146.17,147.06,46400000.0
2021-08-06,146.35,147.11,145.63,146.14,54130000.0
2021-08-09,146.2,146.7,145.52,146.09,48910000.0
2021-08-10,146.44,147.71,145.3,145.6,69020000.0
2021-08-11,146.05,146.72,145.53,145.86,48490000.0
2021-08-12,146.19,149.05,145.84,148.89,73780000.0
2021-08-13,148.97,149.44,148.27,149.1,59380000.0
2021-08-16,148.53,151.19,146.47,151.12,103560000.0
2021-08-17,150.23,151.68,149.09,150.19,92230000.0
2021-08-18,149.8,150.72,146.15,146.36,86330000.0
2021-08-19,145.03,148.0,144.5,146.7,86960000.0
2021-08-20,147.44,148.5,146.78,148.19,60550000.0
2021-08-23,148.31,150.19,147.89,149.71,60130000.0
2021-08-24,149.45,150.86,149.15,149.62,48610000.0
2021-08-25,149.81,150.32,147.8,148.36,58990000.0
2021-08-26,148.35,149.12,147.51,147.54,48600000.0
2021-08-27,147.48,148.75,146.83,148.6,55800000.0
2021-08-30,149.0,153.49,148.61,153.12,90960000.0
2021-08-31,152.66,152.8,151.29,151.83,86450000.0
2021-09-01,152.83,154.98,152.34,152.51,80310000.0
2021-09-02,153.87,154.72,152.4,153.65,71170000.0
2021-09-03,153.76,154.63,153.09,154.3,57870000.0
2021-09-07,154.97,157.26,154.39,156.69,82280000.0
2021-09-08,156.98,157.04,153.97,155.11,74420000.0
2021-09-09,155.49,156.11,153.95,154.07,57310000.0
2021-09-10,155.0,155.48,148.7,148.97,140890000.0
2021-09-13,150.63,151.42,148.75,149.55,102400000.0
2021-09-14,150.35,151.07,146.91,148.12,109300000.0
2021-09-15,148.56,149.44,146.37,149.03,83280000.0
2021-09-16,148.44,148.97,147.22,148.79,68030000.0
2021-09-17,148.82,148.82,145.76,146.06,129870000.0
2021-09-20,143.8,144.84,141.27,142.94,123480000.0
2021-09-21,143.93,144.6,142.78,143.43,75830000.0
2021-09-22,144.45,146.43,143.7,145.85,76400000.0
2021-09-23,146.65,147.08,145.64,146.83,64840000.0
2021-09-24,145.66,147.47,145.56,146.92,53480000.0
2021-09-27,145.47,145.96,143.82,145.37,74150000.0
2021-09-28,143.25,144.75,141.69,141.91,108970000.0
2021-09-29,142.47,144.45,142.03,142.83,74600000.0
2021-09-30,143.66,144.38,141.28,141.5,89060000.0
2021-10-01,141.9,142.92,139.11,142.65,94640000.0
2021-10-04,141.76,142.21,138.27,139.14,98320000.0
