timestamp,open,high,low,close,volume
2020-03-03,36229,36329,35125,35125,629017
2020-03-04,34923,36327,34923,36028,709188
2020-03-05,36628,36729,35425,36028,821744
2020-03-06,35424,35825,34923,35225,568424
2020-03-09,34322,34422,33318,33620,805638
2020-03-10,33017,35025,32917,34724,950875
2020-03-11,34523,35025,33519,33921,550227
2020-03-12,33519,33921,31813,32315,1218070
2020-03-13,30106,32413,29102,31913,1601985
2020-03-16,32514,32915,29604,29605,1252484
2020-03-17,28300,30205,28099,29605,1221046
2020-03-18,29806,30508,28200,28301,1107527
2020-03-19,29204,29505,25591,26896,2157141
2020-03-20,27698,30308,26996,30007,1765756
2020-03-23,27697,29704,27597,28802,1569378
2020-03-24,30206,31109,29504,31010,1271387
2020-03-25,32213,32614,30307,31010,1290376
2020-03-26,31109,31309,30106,30207,893688
2020-03-27,31412,31512,29906,30609,958988
2020-03-30,30006,31008,29604,30709,668254
2020-03-31,31111,31913,30508,31211,1042474
2020-04-01,31309,31811,30106,30207,794295
2020-04-02,30507,31511,29905,31512,1043790
2020-04-03,31811,31911,31110,31612,545749
2020-04-06,31813,32315,31612,32215,807805
2020-04-07,32815,33015,31812,32114,920798
2020-04-08,31913,32215,31713,31713,738303
2020-04-09,32315,32315,31612,31713,726920
2020-04-10,31813,32415,31512,32315,753323
2020-04-13,32313,32313,31511,31612,470251
2020-04-14,32014,32215,31713,32014,430759
2020-04-16,31912,33517,31812,33218,1005533
2020-04-17,33921,34623,33620,34523,947794
2020-04-20,34623,35928,34523,35125,859303
2020-04-21,35424,35625,33819,35225,1232126
2020-04-22,34923,35525,34421,35526,686146
2020-04-23,36429,37431,36228,37232,1509799
2020-04-24,37032,37835,36530,36731,1073684
2020-04-27,36730,37532,36429,36931,721963
2020-04-28,37230,37431,36429,37132,668638
2020-04-29,36930,37431,36629,36931,659512
2020-05-04,36429,38134,36128,37433,1019409
2020-05-06,37935,40143,37734,40043,2035947
2020-05-07,40042,41646,39841,41347,2629709
2020-05-08,41446,42148,40945,41347,1405404
2020-05-11,41547,42449,41447,41648,1048413
2020-05-12,41948,43453,41346,43053,1563095
2020-05-13,42451,43455,42451,43455,1113608
2020-05-14,43354,45763,42953,45161,1459813
2020-05-15,45861,46463,43353,44458,1524083
2020-05-18,44458,45261,43856,44358,744533
2020-05-19,44456,44657,42952,44157,1308903
2020-05-20,44859,47066,44558,46465,1773960
2020-05-21,47669,48172,47067,47670,1408737
2020-05-22,47670,49878,47168,49577,1887064
2020-05-25,50379,54193,49978,53792,2653776
2020-05-26,54894,56098,52386,54193,3274293
2020-05-27,52585,53589,51583,52286,2015974
2020-05-28,51683,54193,50681,53591,2495048
2020-05-29,52887,53689,51683,52888,1645822
2020-06-01,52888,53390,52086,52989,1083698
2020-06-02,52688,52788,51584,52086,978846
2020-06-03,52084,52485,49676,50078,2302391
2020-06-04,49677,51584,49577,50982,1228950
2020-06-05,50779,50879,49676,50379,1007264
2020-06-08,50680,51782,49877,51483,1417078
2020-06-09,51283,52086,50681,51082,834862
2020-06-10,51482,52886,51482,52587,1575452
2020-06-11,52988,53790,52386,53189,1724551
2020-06-12,51482,53790,51382,53390,1688975
2020-06-15,53390,54394,50179,50681,1549230
2020-06-16,52285,52787,51783,52788,915456
2020-06-17,52486,53790,51783,52788,1162204
2020-06-18,53088,53589,52285,52888,981144
2020-06-19,53689,54091,52586,52888,920126
2020-06-22,52888,55397,52286,54996,2008656
2020-06-23,55999,58005,55597,56501,2166267
2020-06-24,56500,57001,55196,56702,1081233
2020-06-25,55897,56600,54895,55096,900258
2020-06-26,56098,56198,53791,55096,812726
2020-06-29,53990,54894,53389,53691,778818
2020-06-30,54592,54793,53690,53691,624089
2020-07-01,54494,55197,53691,54093,578023
2020-07-02,54895,57303,54794,57304,1378545
2020-07-03,58106,59610,57002,59010,1604493
2020-07-06,59813,61720,59612,60315,1344851
2020-07-07,61518,63825,61016,62322,1552820
2020-07-08,62623,65835,61218,65835,1869663
2020-07-09,67239,71353,66636,71354,2463503
2020-07-10,70450,73861,69346,71354,2566935
2020-07-13,72057,72458,69247,70652,1391744
2020-07-14,68343,69546,68242,68845,1212519
2020-07-15,69044,70148,66636,67741,1487417
2020-07-16,66635,67338,64027,64630,1941508
2020-07-17,64027,65632,63024,65232,1268587
2020-07-20,65232,65232,62222,62222,1534422
2020-07-21,64929,65431,62522,63426,1676630
2020-07-22,62321,64528,61418,63827,1159298
2020-07-23,63526,66136,63225,66136,1260435
2020-07-24,65231,66836,64629,65132,907643
2020-07-27,64430,66136,64329,65534,603322
2020-07-28,66638,67440,65935,66136,873063
2020-07-29,66034,66837,65231,66537,618435
2020-07-30,67438,67639,66536,66637,615872
2020-07-31,67440,69046,67340,68946,1078837
2020-08-03,69749,73462,69648,73462,1636803
2020-08-04,75971,77075,72458,74265,1714642
2020-08-05,73461,74464,72758,74365,1075879
2020-08-06,71955,74765,71755,73060,1848898
2020-08-07,73863,74265,70351,70853,1899111
2020-08-10,69448,71956,68544,71455,1086391
2020-08-11,70550,71653,69748,70752,750285
2020-08-12,69948,71553,69748,71053,729434
2020-08-13,72057,73261,71555,72358,1117859
2020-08-14,72457,73460,71855,72759,825802
2020-08-18,74565,78177,73762,75870,3032037
2020-08-19,77173,77273,74665,75569,1359266
2020-08-20,75469,76874,72157,73161,1686740
2020-08-21,74265,74967,72659,74265,1021460
2020-08-24,75168,76774,73763,76272,969648
2020-08-25,77175,77275,75670,76473,887733
2020-08-26,76372,79082,75870,78681,1351029
2020-08-27,79584,82896,79483,82394,1981840
